target,class_name,num_examples,recall,num_correct
58,Common Gallinule (Adult),49,1.0,49
314,Scarlet Tanager (Breeding Male),49,1.0,49
325,Yellow-headed Blackbird (Adult Male),49,1.0,49
415,Hooded Warbler,49,1.0,49
451,Pyrrhuloxia,48,1.0,48
180,Snowy Owl,46,1.0,46
216,Wood Duck (Female/Eclipse male),46,1.0,46
398,Curve-billed Thrasher,46,1.0,46
409,Prothonotary Warbler,46,1.0,46
498,Clark's Nutcracker,46,1.0,46
17,Ring-necked Duck (Breeding male),44,1.0,44
126,Glossy Ibis,44,1.0,44
239,Red-breasted Merganser (Female/immature male),44,1.0,44
15,Canvasback (Breeding male),43,1.0,43
20,Harlequin Duck (Male),43,1.0,43
182,Burrowing Owl,43,1.0,43
305,Blackpoll Warbler (Breeding male),43,1.0,43
372,Cactus Wren,43,1.0,43
38,Eared Grebe (Breeding),42,1.0,42
76,Pigeon Guillemot (Breeding),42,1.0,42
269,Black-bellied Plover (Nonbreeding/juvenile),42,1.0,42
295,Orchard Oriole (Adult Male),42,1.0,42
14,Green-winged Teal (Male),41,1.0,41
69,Calliope Hummingbird (Adult Male),41,1.0,41
390,Veery,41,1.0,41
434,Rufous-crowned Sparrow,41,1.0,41
57,Purple Gallinule (Adult),40,1.0,40
158,Surfbird,40,1.0,40
166,Band-tailed Pigeon,40,1.0,40
529,Painted Bunting (Female/juvenile),39,1.0,39
2,Ruddy Duck (Breeding male),38,1.0,38
112,Clark's Grebe,38,1.0,38
407,Blue-winged Warbler,38,1.0,38
389,Townsend's Solitaire,37,1.0,37
426,Hermit Warbler,37,1.0,37
31,Gambel's Quail (Male),35,1.0,35
171,Common Ground-Dove,35,1.0,35
119,Brown Pelican,34,1.0,34
175,Greater Roadrunner,34,1.0,34
147,Black-necked Stilt,33,1.0,33
234,Bufflehead (Female/immature male),33,1.0,33
530,Bobolink (Female/juvenile/nonbreeding male),33,1.0,33
28,Common Merganser (Breeding male),32,1.0,32
174,Black-billed Cuckoo,32,1.0,32
399,California Thrasher,32,1.0,32
382,American Dipper,31,1.0,31
1,Long-tailed Duck (Winter male),30,1.0,30
0,Common Eider (Adult male),29,1.0,29
128,Roseate Spoonbill,29,1.0,29
132,Swallow-tailed Kite,29,1.0,29
437,Abert's Towhee,29,1.0,29
431,Green-tailed Towhee,28,1.0,28
373,Canyon Wren,26,1.0,26
213,Black-bellied Whistling-Duck,20,1.0,20
106,Scaled Quail,19,1.0,19
218,American Wigeon (Female/Eclipse male),19,1.0,19
551,Summer Tanager (Immature Male),17,1.0,17
133,White-tailed Kite,13,1.0,13
